Event	ID	Name			Wwise Object Path	Notes
	13542051	Ambience_Main			\Default Work Unit\Environment\Ambience\Ambience_Main	
	674522502	Land			\Default Work Unit\Movement\Land	
	714885747	Coffin_Open_Begin			\Default Work Unit\Environment\Crypt\Coffin\Coffin_Open_Begin	
	1345353089	Cell_Door_Open_Begin			\Default Work Unit\Environment\Dungeon\Cell_Door_Open_Begin	
	1397875539	Coffin_Open_End			\Default Work Unit\Environment\Crypt\Coffin\Coffin_Open_End	
	1866025847	Footstep			\Default Work Unit\Movement\Footstep	
	1898196184	Candle_Active_Loop			\Default Work Unit\Environment\Candle_Active_Loop	
	2488284511	Cell_Door_Close_Begin			\Default Work Unit\Environment\Dungeon\Cell_Door_Close_Begin	
	2584527849	Coffin_Close_End			\Default Work Unit\Environment\Crypt\Coffin\Coffin_Close_End	
	2697518177	Coffin_Close_Begin			\Default Work Unit\Environment\Crypt\Coffin\Coffin_Close_Begin	
	3008899467	Torch_Active_Loop			\Default Work Unit\Environment\Torch_Active_Loop	
	3297270897	Water_Droplet			\Default Work Unit\Environment\Ambience\Water_Droplet	
	3565464523	Fire_Active_Loop			\Default Work Unit\Environment\Fire_Active_Loop	
	3785983161	Coffin_Shake			\Default Work Unit\Environment\Crypt\Coffin\Coffin_Shake	
	3805516495	Cell_Door_Close_End			\Default Work Unit\Environment\Dungeon\Cell_Door_Close_End	
	3833651337	Jump			\Default Work Unit\Movement\Jump	
	3981690456	Redneck_Rolls_Dice			\Default Work Unit\Debug\Redneck_Rolls_Dice	
	4233653001	Cell_Door_Open_End			\Default Work Unit\Environment\Dungeon\Cell_Door_Open_End	

Switch Group	ID	Name			Wwise Object Path	Notes
	3539622648	Ground_Material			\Default Work Unit\Ground_Material	

Switch	ID	Name	Switch Group			Notes
	504532776	Brick	Ground_Material			
	841620460	Concrete	Ground_Material			
	2799564571	DirtRockAsh	Ground_Material			
	3400588079	WoodMetal	Ground_Material			
	3793643790	WoodPlank	Ground_Material			

State Group	ID	Name			Wwise Object Path	Notes
	3238956108	Player_Location			\Default Work Unit\Player_Location	

State	ID	Name	State Group			Notes
	608898761	Dungeon	Player_Location			
	748895195	None	Player_Location			
	1755593458	Crypt_Coffin_Chamber	Player_Location			
	2761606855	Crypt	Player_Location			

Custom State	ID	Name	State Group	Owner		Notes
	156545532	Crypt_Coffin_Chamber	Player_Location	\Actor-Mixer Hierarchy\Default Work Unit\Environment\Torch Loop		
	992383729	Crypt_Coffin_Chamber	Player_Location	\Actor-Mixer Hierarchy\Default Work Unit\Environment\SE_Candle_Loop		

Game Parameter	ID	Name			Wwise Object Path	Notes
	194404061	Predelay			\Default Work Unit\Reverb\Predelay	
	744829470	NumOfCandles			\Default Work Unit\Environment\NumOfCandles	
	1299678381	Decay			\Default Work Unit\Reverb\Decay	
	2947715227	HFDamping			\Default Work Unit\Reverb\HFDamping	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	1557528409	Aux_Room_Medium			\Default Work Unit\Master Audio Bus\SFX\Aux_Room_Medium	
	1559320942	Aux_Corridor			\Default Work Unit\Master Audio Bus\SFX\Aux_Corridor	
	3065706299	Aux_Dynamic			\Default Work Unit\Master Audio Bus\SFX\Aux_Dynamic	
	3408535089	Aux_Room_Large			\Default Work Unit\Master Audio Bus\SFX\Aux_Room_Large	

Effect plug-ins	ID	Name	Type				Notes
	101284989	Wwise_RoomVerb_(Custom)	Wwise RoomVerb			
	808992315	Hall_Large (Custom)	Wwise RoomVerb			
	894395628	Medium (Custom)	Wwise RoomVerb			
	939061740	Church_Small_Wood (Custom)	Wwise RoomVerb			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	31877821	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Footstep\Player_Footstep_Wood_Creak\Silence\Wwise Silence	
	74169894	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Jump\Player_Jump_Wood_Creak\Silence\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9063177	SE_SFX_Footstep_Concrete_17	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\SE_SFX_Footstep_Concrete_17_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Footstep\Player_Footstep_Concrete\SE_SFX_Footstep_Concrete_17		37428
	12844012	Chair_Creak_Quick_7	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\Chair_Creak_Quick_7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Footstep\Player_Footstep_Wood_Creak\Chair_Creak_Quick_7		62544
	27929397	SE_SFX_Water_Drip_11	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\SE_SFX_Water_Drip_11_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Water_Droplet\SE_SFX_Water_Drip_11		189064
	73816241	SE_SFX_Footstep_Wood_14	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\SE_SFX_Footstep_Wood_14_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Footstep\Player_Footstep_Wood\SE_SFX_Footstep_Wood_14		38084
	84725971	Chair_Creak_Quick_6	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\Chair_Creak_Quick_6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Footstep\Player_Footstep_Wood_Creak\Chair_Creak_Quick_6		69228
	93058130	SE_SFX_Land_Brick_3	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\SE_SFX_Land_Brick_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Land\Player_Land_Brick\SE_SFX_Land_Brick_3		74408
	102816207	SE_SFX_Land_Concrete_3	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\SE_SFX_Land_Concrete_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Land\Player_Land_Concrete\SE_SFX_Land_Concrete_3		58836
	106152035	SE_SFX_Footstep_Brick_9	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\SE_SFX_Footstep_Brick_9_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Player_Footstep\Player_Footstep_Brick\SE_SFX_Footstep_Brick_9		25648
	140853293	SE_SFX_Water_Drip_12	C:\Users\Jamie Carnell\Desktop\Projects etc\Projects\GAM340 Project\GAM340-Spatial-Environment\GAM340-SpatialEnv-WwiseProject\.cache\Windows\SFX\SE_SFX_Water_Drip_12_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Water_Droplet\SE_SFX_Water_Drip_12		54396
